Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp,Avg Resp,Min Resp,Max Resp
Road Cycling,2019-10-27 07:00:47,false,"Mueang Pathum Thani Road Cycling","200.18","3,073","07:53:43","105","169","3.3","--","--","25.4","43.5","229","210","0.00","0.0","0.0","--","78","183","134","47% L / 53% R","151.6","174","109","719","0.0","0.0","30553","--","--","0:00","27.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-10-26 06:19:32,false,"Bang Phli Road Cycling","70.75","955","02:01:17","106","158","2.4","--","--","35.0","44.8","14","31","0.00","0.0","0.0","--","78","164","145","46% L / 54% R","45.9","151","132","624","0.0","0.0","9330","--","--","0:00","26.0","0:00","No","39:20.35","3","0.0","--","--","--"
Road Cycling,2019-10-24 18:19:11,false,"Bang Phli Road Cycling","50.31","767","01:56:10","108","127","2.2","--","--","26.0","35.7","13","28","0.00","0.0","0.0","--","76","163","117","48% L / 52% R","28.7","129","110","482","0.0","0.0","8646","--","--","0:00","28.0","0:00","No","56:53.41","2","0.0","--","--","--"
Running,2019-10-23 18:40:45,false,"Lak Si Running","10.82","624","01:18:19","150","172","5.0","158","164","7:14","5:41","1","13","0.87","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","31.0","0:00","No","05:13.73","11","0.0","--","--","--"
Road Cycling,2019-10-23 06:33:01,false,"Bang Phli Road Cycling","70.41","1,038","02:06:58","136","162","3.0","--","--","33.3","41.7","14","21","0.00","0.0","0.0","--","77","177","144","46% L / 54% R","47.5","162","136","580","0.0","0.0","9788","--","--","0:00","27.0","0:00","No","37:33.92","3","0.0","--","--","--"
Road Cycling,2019-10-20 18:07:07,false,"Bang Phli Road Cycling","70.27","1,085","02:32:22","119","158","2.5","--","--","27.7","30.9","7","19","0.00","0.0","0.0","--","78","167","122","45% L / 55% R","40.5","129","119","380","0.0","0.0","11851","--","--","0:00","28.0","0:00","No","00:04.42","4","0.0","--","--","--"
Road Cycling,2019-10-19 06:21:00,false,"Bang Phli Road Cycling","70.73","942","02:02:31","130","185","2.8","--","--","34.6","47.3","21","34","0.00","0.0","0.0","--","79","167","141","46% L / 54% R","43.5","158","128","690","0.0","0.0","9503","--","--","0:00","26.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-10-17 18:16:26,false,"Bang Phli Road Cycling","46.86","666","01:27:23","125","173","2.9","--","--","32.2","49.4","10","22","0.00","0.0","0.0","--","76","159","185","46% L / 54% R","53.4","177","127","818","0.0","0.0","6513","--","--","0:00","27.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-10-16 18:25:40,false,"Bang Phli Road Cycling","47.18","745","01:24:16","137","170","3.0","--","--","33.6","41.2","11","23","0.00","0.0","0.0","--","79","155","166","46% L / 54% R","41.8","171","147","599","0.0","0.0","6585","--","--","0:00","28.0","0:00","No","00:24.79","3","0.0","--","--","--"
Road Cycling,2019-10-15 17:37:26,false,"Bang Phli Road Cycling","70.34","1,006","01:54:29","143","170","3.2","--","--","36.9","47.1","11","31","0.00","0.0","0.0","--","80","160","164","45% L / 55% R","55.0","179","147","691","0.0","0.0","9154","--","--","0:00","26.0","0:00","No","00:02.82","4","0.0","--","--","--"
Road Cycling,2019-10-14 06:29:59,false,"Bang Phli Road Cycling","23.45","358","00:44:55","133","170","2.7","--","--","31.3","38.9","5","13","0.00","0.0","0.0","--","81","161","157","46% L / 54% R","19.7","165","133","561","0.0","0.0","3623","--","--","0:00","23.0","0:00","No","00:01.02","2","0.0","--","--","--"
Road Cycling,2019-10-13 18:20:31,false,"Bang Phli Road Cycling","23.72","447","00:49:02","140","171","3.1","--","--","29.0","39.4","10","21","0.00","0.0","0.0","--","81","159","173","44% L / 56% R","26.3","186","152","451","0.0","0.0","3878","--","--","0:00","26.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-10-12 06:33:56,false,"Bang Phli Road Cycling","117.19","1,745","03:43:57","142","194","4.6","--","--","31.4","44.7","29","41","0.00","0.0","0.0","--","74","161","141","46% L / 54% R","79.9","172","130","634","0.0","0.0","16627","--","--","0:00","25.0","0:00","No","00:03.59","6","0.0","--","--","--"
Road Cycling,2019-10-09 18:08:09,false,"Bang Phli Road Cycling","47.14","771","01:18:14","144","176","3.6","--","--","36.2","43.0","19","25","0.00","0.0","0.0","--","80","151","177","45% L / 55% R","44.0","180","164","658","0.0","0.0","6196","--","--","0:00","27.0","0:00","No","38:38.78","2","0.0","--","--","--"
Road Cycling,2019-10-06 06:14:04,false,"Thung Yai Road Cycling","196.01","3,261","07:23:45","141","183","5.0","--","--","26.5","52.0","994","969","0.00","0.0","0.0","--","78","182","154","46% L / 54% R","190.3","188","123","628","0.0","0.0","29854","--","--","0:00","22.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-10-03 17:54:46,false,"Bang Phli Road Cycling","70.42","1,078","01:54:05","146","170","4.4","--","--","37.0","49.7","13","33","0.00","0.0","0.0","--","81","153","173","48% L / 52% R","61.0","174","158","620","0.0","0.0","9163","--","--","0:00","28.0","0:00","No","00:06.81","4","0.0","--","--","--"
Road Cycling,2019-10-01 17:49:00,false,"Bang Phli Road Cycling","70.74","1,004","01:57:05","143","176","4.0","--","--","36.2","50.4","17","28","0.00","0.0","0.0","--","83","158","160","49% L / 51% R","54.0","166","143","689","0.0","0.0","9546","--","--","0:00","28.0","0:00","No","00:02.25","4","0.0","--","--","--"
Road Cycling,2019-09-29 06:25:35,false,"Bang Phli Road Cycling","93.82","1,322","02:49:07","141","164","4.2","--","--","33.3","46.7","15","26","0.00","0.0","0.0","--","82","159","142","51% L / 49% R","61.7","157","130","683","0.0","0.0","13787","--","--","0:00","26.0","0:00","No","00:02.02","4","0.0","--","--","--"
Running,2019-09-28 18:21:48,false,"Lak Si Running","11.02","629","01:14:38","159","177","5.0","160","166","6:46","6:05","--","11","0.92","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","31.0","0:00","No","00:05.77","12","0.0","--","--","--"
Road Cycling,2019-09-28 06:33:15,false,"Bang Phli Road Cycling","72.09","1,099","02:14:10","143","175","4.7","--","--","32.2","42.8","10","22","0.00","0.0","0.0","--","83","182","156","48% L / 52% R","58.9","173","137","613","0.0","0.0","10921","--","--","0:00","26.0","0:00","No","00:03.92","5","0.0","--","--","--"
